2023-12-07 10:36:56 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.fixed.FixedWidthParserTest', methodName='testSingleLineParsingWithLookAhead'}=TestCaseResult{TestState='NOTEST', usageTime='1914'}}
2023-12-07 10:36:56 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:36:56 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:22
2023-12-07 10:36:56 [main] INFO  org.regminer.miner.BFCEvaluator - 3651b0bf6ffcdae429fec047c6f9ee986e315271 checkout 
2023-12-07 10:36:56 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Lookahead is not working correctly for parseLine()
2023-12-07 10:37:06 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.fixed.FixedWidthParserTest', methodName='testSingleLineParsingWithLookAhead'}=TestCaseResult{TestState='FAL', usageTime='1861'}}
2023-12-07 10:37:06 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:37:06 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:23
2023-12-07 10:37:06 [main] INFO  org.regminer.miner.BFCEvaluator - 6d3d7ea1fc3ebf53da2c4ca50f1dd9b82603ec54 checkout 
2023-12-07 10:37:06 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Fixed #337 Inconsistent parsing behavior when max. characters per column is set to -1 (unlimited)
2023-12-07 10:37:24 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_337', methodName='maxProvider'}=TestCaseResult{TestState='NOTEST', usageTime='1884'}, TestCase{className='com.univocity.parsers.issues.github.Github_337', methodName='testInconsistentParsing'}=TestCaseResult{TestState='FAL', usageTime='2840'}}
2023-12-07 10:37:24 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:37:24 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:24
2023-12-07 10:37:24 [main] INFO  org.regminer.miner.BFCEvaluator - 90e05954bbd52ec2e8ece8ee6bf73cc5ce6fdbbb checkout 
