"_id","clone_url","commit_size","full_name","issue_size","repo_size","status"
"ctripcorp/apollo","https://github.com/ctripcorp/apollo.git","2486","ctripcorp/apollo","3372","46250","true"
"alibaba/druid","https://github.com/alibaba/druid.git","6398","alibaba/druid","2247","64169","true"
"greenrobot/EventBus","https://github.com/greenrobot/EventBus.git","507","greenrobot/EventBus","518","1643","true"
"alibaba/fastjson","https://github.com/alibaba/fastjson.git","3863","alibaba/fastjson","2101","15248","true"
"scwang90/SmartRefreshLayout","https://github.com/scwang90/SmartRefreshLayout.git","1072","scwang90/SmartRefreshLayout","1175","273174","false"
"CymChad/BaseRecyclerViewAdapterHelper","https://github.com/CymChad/BaseRecyclerViewAdapterHelper.git","1207","CymChad/BaseRecyclerViewAdapterHelper","3114","64854","true"
"zhangdaiscott/jeecg-boot","https://github.com/zhangdaiscott/jeecg-boot.git","492","zhangdaiscott/jeecg-boot","2164","45309","true"
"Netflix/Hystrix","https://github.com/Netflix/Hystrix.git","2109","Netflix/Hystrix","1423","9784","true"
"xkcoding/spring-boot-demo","https://github.com/xkcoding/spring-boot-demo.git","731","xkcoding/spring-boot-demo","104","13859","true"
"lenve/vhr","https://github.com/lenve/vhr.git","157","lenve/vhr","97","8381","false"
"SeleniumHQ/selenium","https://github.com/SeleniumHQ/selenium.git","26851","SeleniumHQ/selenium","9115","1896203","false"
"signalapp/Signal-Android","https://github.com/signalapp/Signal-Android.git","7282","signalapp/Signal-Android","9747","356266","false"
"hollischuang/toBeTopJavaer","https://github.com/hollischuang/toBeTopJavaer.git","247","hollischuang/toBeTopJavaer","112","7417","true"
"dbeaver/dbeaver","https://github.com/dbeaver/dbeaver.git","19324","dbeaver/dbeaver","10370","278244","false"
"qiurunze123/miaosha","https://github.com/qiurunze123/miaosha.git","216","qiurunze123/miaosha","55","65603","true"
"ReactiveX/RxAndroid","https://github.com/ReactiveX/RxAndroid.git","511","ReactiveX/RxAndroid","568","949","true"
"google/gson","https://github.com/google/gson.git","1485","google/gson","1213","10647","true"
"alibaba/easyexcel","https://github.com/alibaba/easyexcel.git","429","alibaba/easyexcel","1779","25050","true"
"seata/seata","https://github.com/seata/seata.git","1223","seata/seata","3110","7448","true"
"wuyouzhuguli/SpringAll","https://github.com/wuyouzhuguli/SpringAll.git","140","wuyouzhuguli/SpringAll","27","1059","false"
"halo-dev/halo","https://github.com/halo-dev/halo.git","1970","halo-dev/halo","1251","32540","true"
"dromara/hutool","https://github.com/dromara/hutool.git","1892","dromara/hutool","1509","37787","true"
"apache/kafka","https://github.com/apache/kafka.git","8898","apache/kafka","9696","122766","false"
"alibaba/canal","https://github.com/alibaba/canal.git","1430","alibaba/canal","2931","18412","true"
