"_id","clone_url","commit_size","full_name","gradle_num","issue_size","pom_num","repo_size","status","tesfile_num"
"crashub/crash","https://github.com/crashub/crash.git","1988","crashub/crash","0","112","18","20678","true","213"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp.git","1358","ahmetaa/zemberek-nlp","0","219","17","54500","true","95"
"jfaster/mango","https://github.com/jfaster/mango.git","779","jfaster/mango","0","39","1","2790","true","151"
"jbake-org/jbake","https://github.com/jbake-org/jbake.git","994","jbake-org/jbake","3","526","0","5833","true","45"
"ron190/jsql-injection","https://github.com/ron190/jsql-injection.git","700","ron190/jsql-injection","0","94466","3","12461","true","95"
"wyh-spring-ecosystem-student/spring-boot-student","https://github.com/wyh-spring-ecosystem-student/spring-boot-student.git","505","wyh-spring-ecosystem-student/spring-boot-student","0","3","45","2756","true","123"
"eclipse/eclipse.jdt.ls","https://github.com/eclipse/eclipse.jdt.ls.git","1065","eclipse/eclipse.jdt.ls","20","1429","76","12734","true","355"
"Impetus/Kundera","https://github.com/Impetus/Kundera.git","3929","Impetus/Kundera","0","868","49","30689","true","1888"
"TheGreyGhost/MinecraftByExample","https://github.com/TheGreyGhost/MinecraftByExample.git","546","TheGreyGhost/MinecraftByExample","1","64","0","5509","true","25"
"bennidi/mbassador","https://github.com/bennidi/mbassador.git","336","bennidi/mbassador","1","146","1","2630","true","47"
"LinkedInAttic/camus","https://github.com/LinkedInAttic/camus.git","641","LinkedInAttic/camus","7","190","8","46434","true","31"
"JetBrains/xodus","https://github.com/JetBrains/xodus.git","2498","JetBrains/xodus","15","27","0","8711","true","145"
"scobal/seyren","https://github.com/scobal/seyren.git","640","scobal/seyren","0","403","7","1944","true","23"
"facebookarchive/swift","https://github.com/facebookarchive/swift.git","595","facebookarchive/swift","0","354","15","5806","true","146"
"glowroot/glowroot","https://github.com/glowroot/glowroot.git","4046","glowroot/glowroot","0","613","56","31870","true","506"
"briandilley/jsonrpc4j","https://github.com/briandilley/jsonrpc4j.git","312","briandilley/jsonrpc4j","1","221","0","1491","true","40"
"simon987/Much-Assembly-Required","https://github.com/simon987/Much-Assembly-Required.git","412","simon987/Much-Assembly-Required","0","200","8","4705","true","43"
"davidmoten/rtree","https://github.com/davidmoten/rtree.git","1124","davidmoten/rtree","0","75","1","1736","true","42"
"kaitoy/pcap4j","https://github.com/kaitoy/pcap4j.git","866","kaitoy/pcap4j","0","237","8","15222","true","67"
"PebbleTemplates/pebble","https://github.com/PebbleTemplates/pebble.git","1209","PebbleTemplates/pebble","0","543","8","3369","true","102"
"WeBankFinTech/WeIdentity","https://github.com/WeBankFinTech/WeIdentity.git","782","WeBankFinTech/WeIdentity","1","279","0","34366","true","77"
"spring-projects/spring-hateoas","https://github.com/spring-projects/spring-hateoas.git","925","spring-projects/spring-hateoas","0","1287","1","5519","true","126"
"lenskit/lenskit","https://github.com/lenskit/lenskit.git","6375","lenskit/lenskit","49","945","0","24764","true","208"
"journaldev/journaldev","https://github.com/journaldev/journaldev.git","432","journaldev/journaldev","314","32","163","29415","true","258"
"facebookarchive/nifty","https://github.com/facebookarchive/nifty.git","315","facebookarchive/nifty","0","191","6","1005","true","30"
"mapsforge/mapsforge","https://github.com/mapsforge/mapsforge.git","2110","mapsforge/mapsforge","15","1198","0","54239","true","93"
"google/conscrypt","https://github.com/google/conscrypt.git","4217","google/conscrypt","14","862","0","22802","true","151"
"hantsy/spring-reactive-sample","https://github.com/hantsy/spring-reactive-sample.git","382","hantsy/spring-reactive-sample","0","22","86","1720","true","107"
"srikanth-lingala/zip4j","https://github.com/srikanth-lingala/zip4j.git","324","srikanth-lingala/zip4j","0","286","1","3695","true","35"
"alfio-event/alf.io","https://github.com/alfio-event/alf.io.git","3340","alfio-event/alf.io","1","852","0","37396","true","102"
"spotify/mobius","https://github.com/spotify/mobius.git","376","spotify/mobius","8","133","0","803","true","96"
"vladmihalcea/flexy-pool","https://github.com/vladmihalcea/flexy-pool.git","343","vladmihalcea/flexy-pool","0","55","24","869","true","102"
"vert-x3/vertx-web","https://github.com/vert-x3/vertx-web.git","2909","vert-x3/vertx-web","0","1793","23","17700","true","196"
"leangen/graphql-spqr","https://github.com/leangen/graphql-spqr.git","380","leangen/graphql-spqr","0","332","1","1514","true","60"
"jnr/jnr-ffi","https://github.com/jnr/jnr-ffi.git","1031","jnr/jnr-ffi","0","147","1","5789","true","36"
"hibernate/hibernate-validator","https://github.com/hibernate/hibernate-validator.git","4202","hibernate/hibernate-validator","0","1147","21","30374","true","1022"
"jline/jline3","https://github.com/jline/jline3.git","2202","jline/jline3","0","624","14","6547","true","61"
"spotify/heroic","https://github.com/spotify/heroic.git","1296","spotify/heroic","24","695","0","9886","true","185"
"zalando/logbook","https://github.com/zalando/logbook.git","1697","zalando/logbook","0","978","19","4566","true","166"
"HaraldWalker/user-agent-utils","https://github.com/HaraldWalker/user-agent-utils.git","379","HaraldWalker/user-agent-utils","0","75","1","1459","true","29"
"vladmihalcea/high-performance-java-persistence","https://github.com/vladmihalcea/high-performance-java-persistence.git","870","vladmihalcea/high-performance-java-persistence","0","63","9","2538","true","881"
"pengrad/java-telegram-bot-api","https://github.com/pengrad/java-telegram-bot-api.git","473","pengrad/java-telegram-bot-api","3","222","1","1766","true","35"
"SlimeKnights/TinkersConstruct","https://github.com/SlimeKnights/TinkersConstruct.git","6389","SlimeKnights/TinkersConstruct","1","4186","0","36479","true","36"
"selendroid/selendroid","https://github.com/selendroid/selendroid.git","1344","selendroid/selendroid","9","1052","9","15750","true","101"
"bbottema/simple-java-mail","https://github.com/bbottema/simple-java-mail.git","1520","bbottema/simple-java-mail","0","294","12","13580","true","49"
"NordicSemiconductor/Android-BLE-Library","https://github.com/NordicSemiconductor/Android-BLE-Library.git","380","NordicSemiconductor/Android-BLE-Library","4","225","0","1169","true","33"
"pholser/junit-quickcheck","https://github.com/pholser/junit-quickcheck.git","1014","pholser/junit-quickcheck","0","297","5","18007","true","335"
"apache/sqoop","https://github.com/apache/sqoop.git","969","apache/sqoop","1","64","0","18789","true","368"
"wildfly/quickstart","https://github.com/wildfly/quickstart.git","2306","wildfly/quickstart","0","484","170","37815","true","97"
"bartdag/py4j","https://github.com/bartdag/py4j.git","744","bartdag/py4j","1","300","1","16472","true","86"
